user_id;signup_date;country;device;acquisition_channel;plan_id;activated_date;is_activated
U000069;22/1/2025;IT;iOS;Organic;P02;3/2/2025;1
U000070;24/4/2025;ES;Android;Paid Social;P01;29/4/2025;1
U000071;1/6/2025;FR;iOS;Partnership;P02;7/6/2025;1
U000072;27/12/2025;DE;iOS;Partnership;P01;28/12/2025;1
U000073;15/2/2025;IT;Android;Paid Search;P01;20/2/2025;1
U000074;5/11/2025;IE;iOS;Paid Social;P01;10/11/2025;1
U000075;30/9/2025;NL;Android;Paid Social;P02;1/10/2025;1
U000076;29/8/2025;DE;iOS;Organic;P02;30/8/2025;1
U000077;21/6/2025;DE;Android;Paid Social;P01;22/6/2025;1
U000078;13/5/2025;DE;iOS;Organic;P02;13/5/2025;1
U000079;17/12/2025;DE;iOS;Organic;P01;;0
U000080;31/3/2025;ES;Android;Paid Search;P01;4/4/2025;1
U000081;7/12/2025;IT;Android;Referral;P01;7/12/2025;1
U000082;3/7/2025;IT;iOS;Organic;P01;3/7/2025;1
U000083;8/1/2025;DE;Android;Organic;P01;;0
U000084;9/2/2025;NL;iOS;Organic;P02;13/2/2025;1
U000085;10/4/2025;IT;iOS;Organic;P03;;0
U000086;28/2/2025;FR;iOS;Partnership;P01;3/3/2025;1
U000087;29/8/2025;ES;Android;Paid Search;P01;31/8/2025;1
U000088;14/5/2025;ES;Android;Organic;P01;14/5/2025;1
U000089;13/10/2025;FR;Android;Partnership;P02;;0
U000090;3/12/2025;FR;Android;Organic;P01;11/12/2025;1
U000091;10/1/2025;ES;iOS;Paid Search;P01;12/1/2025;1
U000092;28/4/2025;ES;iOS;Referral;P01;1/5/2025;1
U000093;20/12/2025;ES;iOS;Referral;P01;22/12/2025;1
U000094;26/12/2025;PT;Android;Organic;P02;31/12/2025;1
U000095;5/4/2025;PT;iOS;Paid Social;P01;10/4/2025;1
U000096;18/1/2025;FR;Android;Paid Social;P01;;0
U000097;29/12/2025;ES;Android;Paid Social;P01;4/1/2026;1
U000098;28/9/2025;ES;Android;Organic;P01;4/10/2025;1
U000099;24/2/2025;ES;iOS;Referral;P01;;0
U000100;31/5/2025;FR;iOS;Paid Social;P01;11/6/2025;1
U000101;19/10/2025;ES;Android;Paid Social;P01;;0
U000102;8/11/2025;FR;Android;Partnership;P01;15/11/2025;1
U000103;8/5/2025;IE;Android;Referral;P01;14/5/2025;1
U000104;1/12/2025;DE;Android;Referral;P01;9/12/2025;1
U000105;21/6/2025;PT;Android;Organic;P01;22/6/2025;1
U000106;3/3/2025;ES;iOS;Organic;P01;4/3/2025;1
U000107;27/11/2025;ES;Android;Paid Social;P02;28/11/2025;1
U000108;28/3/2025;BE;iOS;Organic;P01;28/3/2025;1
U000109;24/4/2025;FR;Web;Paid Social;P02;3/5/2025;1
U000110;28/7/2025;DE;iOS;Referral;P01;8/8/2025;1
U000111;23/1/2025;IE;iOS;Paid Social;P01;24/1/2025;1
U000112;11/9/2025;DE;iOS;Organic;P01;;0
U000113;7/10/2025;ES;Android;Referral;P02;10/10/2025;1
U000114;21/3/2025;DE;Web;Paid Social;P01;23/3/2025;1
U000115;12/6/2025;ES;iOS;Paid Search;P02;13/6/2025;1
U000116;21/1/2025;ES;iOS;Paid Social;P01;26/1/2025;1
U000117;27/12/2025;ES;iOS;Organic;P01;31/12/2025;1
U000118;19/9/2025;NL;iOS;Referral;P01;;0
U000119;2/12/2025;IT;Android;Organic;P01;6/12/2025;1
U000120;5/6/2025;ES;iOS;Paid Social;P01;15/6/2025;1
U000121;24/1/2025;ES;Web;Organic;P01;;0
U000122;2/4/2025;IT;Web;Organic;P01;;0
U000123;30/8/2025;BE;iOS;Organic;P01;1/9/2025;1
U000124;21/7/2025;ES;Android;Organic;P01;25/7/2025;1
U000125;22/11/2025;FR;Web;Referral;P02;;0
U000126;11/8/2025;NL;Android;Referral;P01;12/8/2025;1
U000127;28/9/2025;NL;Android;Organic;P01;;0
U000128;17/8/2025;BE;iOS;Organic;P01;26/8/2025;1
U000129;30/10/2025;ES;iOS;Referral;P01;31/10/2025;1
U000130;22/1/2025;ES;Android;Organic;P01;25/1/2025;1
U000131;6/11/2025;FR;iOS;Paid Search;P01;8/11/2025;1
U000132;30/11/2025;ES;Android;Organic;P01;3/12/2025;1
U000133;26/3/2025;NL;Android;Paid Social;P01;;0
U000134;31/10/2025;ES;Android;Partnership;P01;5/11/2025;1
U000135;28/5/2025;DE;iOS;Organic;P01;;0
U000136;11/8/2025;BE;iOS;Partnership;P01;;0
U000137;9/7/2025;IE;Android;Referral;P01;18/7/2025;1
U000138;30/11/2025;DE;iOS;Partnership;P02;;0
U000139;20/3/2025;BE;iOS;Referral;P01;21/3/2025;1
U000140;8/9/2025;ES;Web;Referral;P01;13/9/2025;1
U000141;30/9/2025;FR;Android;Paid Social;P02;7/10/2025;1
U000142;24/8/2025;ES;Android;Referral;P01;29/8/2025;1
U000143;19/4/2025;IE;Android;Organic;P01;25/4/2025;1
U000144;23/2/2025;BE;iOS;Referral;P02;25/2/2025;1
U000145;23/7/2025;ES;Web;Paid Social;P01;24/7/2025;1
U000146;30/5/2025;ES;Android;Organic;P02;;0
U000147;5/6/2025;FR;iOS;Organic;P02;;0
U000148;19/9/2025;ES;iOS;Organic;P01;19/9/2025;1
U000149;1/10/2025;NL;iOS;Paid Search;P01;;0
U000150;25/5/2025;ES;Android;Organic;P01;;0
U000151;6/12/2025;PT;Android;Organic;P01;;0
U000152;21/11/2025;DE;Android;Organic;P01;23/11/2025;1
U000153;19/10/2025;FR;Web;Paid Social;P02;3/11/2025;1
U000154;17/7/2025;ES;Android;Organic;P01;22/7/2025;1
U000155;16/6/2025;IE;Android;Organic;P02;21/6/2025;1
U000156;26/4/2025;DE;Android;Organic;P01;28/4/2025;1
U000157;29/3/2025;FR;Android;Paid Search;P01;2/4/2025;1
U000158;20/12/2025;FR;iOS;Organic;P02;20/12/2025;1
U000159;26/9/2025;BE;Android;Partnership;P01;2/10/2025;1
U000160;14/6/2025;PT;Android;Organic;P01;15/6/2025;1
U000161;7/4/2025;PT;iOS;Organic;P01;10/4/2025;1
U000162;29/11/2025;DE;Android;Paid Social;P01;6/12/2025;1
U000163;11/2/2025;NL;Android;Referral;P01;14/2/2025;1
U000164;27/3/2025;ES;iOS;Paid Search;P01;28/3/2025;1
U000165;7/11/2025;IT;Android;Organic;P02;;0
U000166;10/5/2025;FR;iOS;Paid Social;P01;12/5/2025;1
U000167;29/12/2025;DE;Android;Paid Search;P02;1/1/2026;1
U000168;4/10/2025;IE;Android;Paid Search;P02;7/10/2025;1
U000169;26/12/2025;IE;iOS;Partnership;P01;6/1/2026;1
U000170;30/3/2025;DE;Android;Partnership;P02;31/3/2025;1
U000171;22/9/2025;DE;iOS;Paid Social;P02;26/9/2025;1
U000172;31/1/2025;NL;iOS;Organic;P01;4/2/2025;1
U000173;26/2/2025;IE;Android;Paid Social;P01;7/3/2025;1
U000174;14/8/2025;PT;iOS;Partnership;P02;24/8/2025;1
U000175;27/7/2025;ES;Web;Partnership;P03;29/7/2025;1
U000176;1/4/2025;FR;iOS;Organic;P03;;0
U000177;10/10/2025;NL;iOS;Organic;P01;;0
U000178;29/11/2025;IT;Android;Organic;P02;2/12/2025;1
U000179;15/8/2025;IT;Android;Referral;P01;;0
U000180;12/11/2025;DE;Android;Paid Search;P02;20/11/2025;1
U000181;18/12/2025;FR;Android;Organic;P01;20/12/2025;1
U000182;26/7/2025;FR;Android;Organic;P02;27/7/2025;1
U000183;9/2/2025;PT;iOS;Organic;P03;11/2/2025;1
U000184;28/8/2025;ES;iOS;Referral;P01;7/9/2025;1
U000185;29/10/2025;IT;Web;Paid Search;P03;2/11/2025;1
U000186;4/10/2025;IT;iOS;Organic;P01;5/10/2025;1
U000187;23/12/2025;NL;Android;Paid Social;P01;30/12/2025;1
U000188;4/1/2025;ES;Android;Paid Social;P01;;0
U000189;5/11/2025;IT;Android;Paid Social;P01;6/11/2025;1
U000190;7/10/2025;ES;Android;Referral;P01;7/10/2025;1
U000191;2/9/2025;ES;Web;Organic;P01;2/9/2025;1
U000192;1/12/2025;FR;iOS;Organic;P01;5/12/2025;1
U000193;12/11/2025;ES;Android;Organic;P01;16/11/2025;1
U000194;28/12/2025;BE;Android;Paid Social;P01;30/12/2025;1
U000195;20/7/2025;BE;iOS;Partnership;P02;2/8/2025;1
U000196;26/9/2025;ES;Android;Organic;P01;29/9/2025;1
U000197;13/5/2025;NL;Android;Referral;P01;;0
U000198;25/1/2025;DE;iOS;Paid Social;P01;5/2/2025;1
U000199;4/3/2025;IT;Android;Partnership;P02;4/3/2025;1
U000200;1/1/2025;NL;Web;Paid Search;P01;1/1/2025;1
U000201;26/1/2025;DE;iOS;Organic;P02;;0
U000202;4/2/2025;ES;Android;Referral;P02;5/2/2025;1
U000203;15/8/2025;ES;iOS;Referral;P02;15/8/2025;1
U000204;21/11/2025;FR;iOS;Paid Social;P01;23/11/2025;1
U000205;21/12/2025;BE;iOS;Referral;P01;26/12/2025;1
U000206;12/10/2025;DE;Android;Paid Search;P01;14/10/2025;1
U000207;11/2/2025;FR;iOS;Paid Social;P01;13/2/2025;1
U000208;8/12/2025;ES;iOS;Organic;P01;;0
U000209;5/6/2025;BE;Android;Paid Search;P01;5/6/2025;1
U000210;2/4/2025;FR;iOS;Organic;P01;2/4/2025;1
U000211;11/2/2025;IT;iOS;Organic;P01;;0
U000212;29/4/2025;IT;iOS;Organic;P01;8/5/2025;1
U000213;21/10/2025;ES;Android;Paid Social;P01;26/10/2025;1
U000214;18/9/2025;ES;Android;Referral;P01;7/10/2025;1
U000215;13/9/2025;FR;Android;Organic;P01;17/9/2025;1
U000216;7/12/2025;ES;iOS;Paid Search;P01;10/12/2025;1
U000217;18/9/2025;IT;Android;Organic;P01;24/9/2025;1
U000218;16/3/2025;PT;Android;Paid Search;P02;17/3/2025;1
U000219;20/8/2025;ES;iOS;Organic;P02;;0
U000220;2/4/2025;DE;iOS;Paid Social;P01;7/4/2025;1
U000221;5/12/2025;ES;iOS;Partnership;P01;5/12/2025;1
U000222;29/9/2025;ES;iOS;Paid Search;P01;3/10/2025;1
U000223;5/7/2025;IT;iOS;Paid Social;P02;8/7/2025;1
U000224;7/5/2025;PT;Web;Paid Social;P01;9/5/2025;1
U000225;14/6/2025;PT;Android;Organic;P01;22/6/2025;1
U000226;4/9/2025;ES;Android;Organic;P01;5/9/2025;1
U000227;14/9/2025;DE;iOS;Organic;P01;;0
U000228;21/8/2025;FR;Android;Paid Search;P01;;0
U000229;19/5/2025;IE;Android;Referral;P02;27/5/2025;1
U000230;10/12/2025;DE;Web;Paid Search;P01;14/12/2025;1
U000231;12/10/2025;BE;iOS;Paid Search;P02;14/10/2025;1
U000232;16/3/2025;ES;Android;Organic;P03;16/3/2025;1
U000233;14/9/2025;FR;iOS;Organic;P01;30/9/2025;1
U000234;12/6/2025;PT;Android;Partnership;P02;;0
U000235;26/6/2025;FR;Web;Organic;P01;10/7/2025;1
U000236;4/7/2025;DE;Android;Referral;P02;;0
U000237;29/6/2025;DE;Android;Organic;P01;;0
U000238;12/11/2025;IE;Android;Organic;P01;13/11/2025;1
U000239;21/5/2025;ES;Web;Organic;P03;23/5/2025;1
U000240;12/4/2025;BE;iOS;Partnership;P01;16/4/2025;1
U000241;9/7/2025;FR;iOS;Organic;P03;11/7/2025;1
U000242;10/3/2025;FR;Android;Paid Social;P01;10/3/2025;1
U000243;6/8/2025;DE;Web;Organic;P01;10/8/2025;1
U000244;27/7/2025;ES;Android;Paid Social;P03;5/8/2025;1
U000245;23/7/2025;IE;iOS;Paid Social;P01;;0
U000246;17/9/2025;BE;Android;Paid Social;P01;19/9/2025;1
U000247;31/1/2025;IE;iOS;Organic;P01;2/2/2025;1
U000248;16/3/2025;IE;iOS;Organic;P01;22/3/2025;1
U000249;22/4/2025;DE;iOS;Referral;P01;25/4/2025;1
U000250;5/5/2025;FR;iOS;Paid Social;P01;;0
U000251;21/11/2025;NL;Android;Organic;P01;21/11/2025;1
U000252;16/10/2025;ES;iOS;Paid Search;P01;;0
U000253;19/7/2025;NL;iOS;Organic;P01;;0
U000254;18/4/2025;FR;Android;Paid Search;P03;21/4/2025;1
U000255;12/1/2025;IT;iOS;Paid Search;P02;15/1/2025;1
U000256;24/10/2025;FR;iOS;Organic;P01;;0
U000257;11/11/2025;FR;iOS;Paid Search;P03;;0
U000258;5/2/2025;ES;iOS;Paid Social;P01;9/2/2025;1
U000259;23/11/2025;FR;Android;Partnership;P01;27/11/2025;1
U000260;1/6/2025;FR;iOS;Paid Social;P01;2/6/2025;1
U000261;5/7/2025;ES;iOS;Paid Search;P02;11/7/2025;1
U000262;13/5/2025;ES;iOS;Referral;P01;14/5/2025;1
U000263;27/6/2025;DE;iOS;Organic;P01;1/7/2025;1
U000264;13/10/2025;ES;iOS;Paid Social;P03;;0
U000265;8/9/2025;NL;iOS;Organic;P01;13/9/2025;1
U000266;21/3/2025;ES;iOS;Organic;P01;;0
U000267;14/7/2025;DE;iOS;Paid Social;P02;15/7/2025;1
U000268;12/8/2025;ES;Android;Organic;P01;;0
U000269;12/11/2025;DE;iOS;Paid Social;P01;20/11/2025;1
U000270;12/2/2025;DE;iOS;Paid Social;P02;;0
U000271;20/3/2025;DE;Android;Organic;P01;;0
U000272;16/4/2025;FR;iOS;Paid Search;P01;;0
U000273;26/9/2025;DE;Android;Paid Social;P03;3/10/2025;1
U000274;28/4/2025;ES;iOS;Paid Social;P01;13/5/2025;1
U000275;29/1/2025;FR;Android;Referral;P01;1/2/2025;1
U000276;20/8/2025;FR;Web;Organic;P01;20/8/2025;1
U000277;8/6/2025;DE;iOS;Referral;P02;11/6/2025;1
U000278;28/7/2025;FR;iOS;Paid Search;P03;1/8/2025;1
U000279;22/9/2025;PT;Android;Organic;P01;;0
U000280;15/2/2025;FR;Web;Paid Social;P01;18/2/2025;1
U000281;6/9/2025;ES;iOS;Organic;P01;;0
U000282;31/3/2025;ES;Android;Organic;P01;14/4/2025;1
U000283;28/5/2025;ES;iOS;Organic;P01;11/6/2025;1
U000284;27/5/2025;DE;Android;Referral;P01;27/5/2025;1
U000285;12/4/2025;NL;iOS;Partnership;P01;;0
U000286;27/10/2025;IT;Android;Partnership;P01;30/10/2025;1
U000287;23/8/2025;FR;iOS;Organic;P01;26/8/2025;1
U000288;8/3/2025;ES;Android;Paid Search;P01;8/3/2025;1
U000289;26/5/2025;NL;iOS;Referral;P02;30/5/2025;1
U000290;10/1/2025;ES;Android;Organic;P01;16/1/2025;1
U000291;24/10/2025;FR;Android;Paid Search;P01;27/10/2025;1
U000292;7/4/2025;NL;Android;Organic;P01;7/4/2025;1
U000293;15/1/2025;FR;Web;Paid Social;P01;19/1/2025;1
U000294;9/10/2025;ES;Android;Paid Social;P01;14/10/2025;1
U000295;26/11/2025;ES;Android;Organic;P01;;0
U000296;15/7/2025;DE;iOS;Organic;P01;25/7/2025;1
U000297;11/8/2025;ES;Android;Referral;P02;18/8/2025;1
U000298;8/12/2025;DE;Android;Paid Social;P01;16/12/2025;1
U000299;27/7/2025;FR;Android;Organic;P02;28/7/2025;1
U000300;10/3/2025;FR;Android;Organic;P01;18/3/2025;1
U000301;15/2/2025;ES;Android;Partnership;P01;;0
U000302;24/8/2025;PT;Android;Paid Social;P01;;0
U000303;31/1/2025;FR;Android;Paid Social;P02;1/2/2025;1
U000304;17/12/2025;IT;Android;Paid Social;P01;19/12/2025;1
U000305;16/2/2025;FR;iOS;Partnership;P01;25/2/2025;1
U000306;4/9/2025;ES;Web;Organic;P01;;0
U000307;6/1/2025;FR;Android;Organic;P01;6/1/2025;1
U000308;20/11/2025;DE;Android;Paid Search;P01;24/11/2025;1
U000309;8/3/2025;FR;Android;Referral;P01;10/3/2025;1
U000310;7/12/2025;PT;Android;Organic;P01;8/12/2025;1
U000311;23/5/2025;BE;Android;Organic;P01;3/6/2025;1
U000312;18/9/2025;PT;Android;Organic;P01;;0
U000313;2/10/2025;DE;Android;Paid Social;P02;4/10/2025;1
U000314;28/10/2025;DE;Android;Paid Social;P02;2/11/2025;1
U000315;20/5/2025;DE;Android;Paid Search;P02;26/5/2025;1
U000316;31/8/2025;ES;iOS;Organic;P01;4/9/2025;1
U000317;7/6/2025;PT;Android;Referral;P01;22/6/2025;1
U000318;2/8/2025;NL;Android;Organic;P01;2/8/2025;1
U000319;26/2/2025;ES;Android;Referral;P01;1/3/2025;1
U000320;10/11/2025;BE;Android;Organic;P01;11/11/2025;1
U000321;4/4/2025;NL;iOS;Partnership;P01;11/4/2025;1
U000322;20/3/2025;FR;iOS;Paid Search;P01;23/3/2025;1
U000323;9/10/2025;BE;Android;Paid Social;P02;;0
U000324;25/9/2025;ES;Web;Organic;P01;;0
U000325;31/12/2025;ES;Android;Organic;P02;;0
U000326;26/8/2025;FR;iOS;Paid Social;P01;;0
U000327;23/2/2025;DE;Android;Paid Social;P03;27/2/2025;1
U000328;27/10/2025;FR;Android;Referral;P01;8/11/2025;1
U000329;7/6/2025;BE;Android;Paid Social;P01;12/6/2025;1
U000330;17/11/2025;ES;iOS;Paid Social;P01;19/11/2025;1
U000331;22/10/2025;ES;iOS;Referral;P01;29/10/2025;1
U000332;30/9/2025;DE;Android;Paid Search;P02;;0
U000333;23/2/2025;ES;Android;Referral;P01;25/2/2025;1
U000334;1/12/2025;IT;Android;Paid Search;P02;18/12/2025;1
U000335;18/4/2025;FR;iOS;Organic;P01;22/4/2025;1
U000336;21/3/2025;IE;iOS;Referral;P03;25/3/2025;1
U000337;11/12/2025;IT;iOS;Organic;P01;14/12/2025;1
U000338;17/12/2025;ES;Web;Organic;P01;;0
U000339;5/5/2025;ES;iOS;Organic;P02;;0
U000340;12/9/2025;ES;Android;Paid Search;P01;12/9/2025;1
U000341;24/7/2025;IE;Android;Paid Social;P01;30/7/2025;1
U000342;21/1/2025;IT;Android;Organic;P01;30/1/2025;1
U000343;29/8/2025;FR;iOS;Organic;P01;1/9/2025;1
U000344;28/5/2025;ES;Android;Organic;P02;29/5/2025;1
U000345;28/7/2025;NL;Android;Organic;P01;31/7/2025;1
U000346;7/10/2025;ES;iOS;Organic;P02;;0
U000347;9/2/2025;IT;Android;Organic;P02;15/2/2025;1
U000348;3/2/2025;IT;iOS;Referral;P02;9/2/2025;1
U000349;27/8/2025;ES;Web;Paid Social;P01;;0
U000350;25/2/2025;DE;Android;Organic;P01;2/3/2025;1
U000351;7/12/2025;ES;iOS;Organic;P03;13/12/2025;1
U000352;10/12/2025;FR;Android;Organic;P01;13/12/2025;1
U000353;7/8/2025;IE;Android;Organic;P01;8/8/2025;1
U000354;3/10/2025;IT;Android;Paid Search;P02;5/10/2025;1
U000355;3/1/2025;NL;iOS;Partnership;P01;;0
U000356;12/5/2025;DE;iOS;Referral;P02;19/5/2025;1
U000357;27/7/2025;ES;Android;Paid Search;P01;;0
U000358;19/6/2025;IT;Android;Organic;P02;;0
U000359;21/7/2025;DE;Android;Paid Social;P02;25/7/2025;1
U000360;17/12/2025;ES;iOS;Partnership;P01;23/12/2025;1
U000361;6/1/2025;FR;Android;Organic;P01;;0
U000362;4/1/2025;DE;iOS;Referral;P02;14/1/2025;1
U000363;3/6/2025;IT;Android;Organic;P01;5/6/2025;1
U000364;23/8/2025;ES;iOS;Paid Social;P01;30/8/2025;1
U000365;22/6/2025;NL;iOS;Organic;P03;9/7/2025;1
U000366;5/11/2025;FR;iOS;Paid Social;P01;15/11/2025;1
U000367;25/6/2025;ES;Android;Organic;P01;;0
U000368;29/5/2025;ES;iOS;Paid Search;P03;3/6/2025;1
U000369;24/11/2025;PT;Android;Paid Social;P01;24/11/2025;1
U000370;4/8/2025;FR;iOS;Paid Social;P02;4/8/2025;1
U000371;10/3/2025;FR;Android;Paid Social;P02;18/3/2025;1
U000372;29/11/2025;ES;Android;Organic;P01;3/12/2025;1
U000373;13/8/2025;IT;iOS;Paid Social;P01;;0
U000374;24/9/2025;PT;iOS;Organic;P02;27/9/2025;1
U000375;24/10/2025;FR;iOS;Paid Social;P01;30/10/2025;1
U000376;25/3/2025;BE;Android;Organic;P01;3/4/2025;1
U000377;30/10/2025;ES;Web;Paid Search;P01;;0
U000378;21/6/2025;ES;iOS;Paid Search;P01;27/6/2025;1
U000379;25/12/2025;DE;Android;Partnership;P01;27/12/2025;1
U000380;20/1/2025;IT;Android;Paid Social;P01;24/1/2025;1
U000381;28/12/2025;ES;Android;Organic;P02;;0
U000382;11/12/2025;DE;Android;Paid Social;P01;13/12/2025;1
U000383;31/10/2025;ES;Web;Organic;P01;;0
U000384;18/12/2025;DE;Android;Organic;P01;;0
U000385;24/5/2025;DE;Android;Paid Search;P02;25/5/2025;1
U000386;31/8/2025;IE;iOS;Referral;P01;3/9/2025;1
U000387;16/7/2025;FR;Android;Partnership;P01;17/7/2025;1
U000388;17/9/2025;DE;Web;Partnership;P02;;0
U000389;1/6/2025;DE;Android;Organic;P01;2/6/2025;1
U000390;26/8/2025;ES;iOS;Organic;P01;29/8/2025;1
U000391;30/7/2025;ES;Android;Referral;P02;6/8/2025;1
U000392;3/11/2025;IE;iOS;Organic;P01;;0
U000393;24/8/2025;ES;Android;Paid Social;P01;;0
U000394;22/4/2025;PT;iOS;Partnership;P01;25/4/2025;1
U000395;5/10/2025;ES;Android;Organic;P01;9/10/2025;1
U000396;20/3/2025;PT;iOS;Paid Search;P02;22/3/2025;1
U000397;9/12/2025;ES;iOS;Referral;P02;10/12/2025;1
U000398;26/12/2025;IE;iOS;Paid Social;P03;29/12/2025;1
U000399;15/8/2025;IT;iOS;Partnership;P02;23/8/2025;1
U000400;6/5/2025;ES;Android;Paid Social;P01;17/5/2025;1
U000401;14/11/2025;IT;Android;Organic;P01;18/11/2025;1
U000402;24/4/2025;DE;Android;Referral;P01;1/5/2025;1
U000403;24/8/2025;FR;Android;Referral;P01;26/8/2025;1
U000404;26/3/2025;ES;Android;Partnership;P01;26/3/2025;1
U000405;6/7/2025;IT;iOS;Paid Search;P01;;0
U000406;24/2/2025;IT;Android;Paid Search;P01;;0
U000407;31/5/2025;FR;Android;Organic;P01;2/6/2025;1
U000408;12/11/2025;NL;iOS;Organic;P01;18/11/2025;1
U000409;14/8/2025;ES;Android;Partnership;P02;;0
U000410;3/9/2025;ES;Android;Partnership;P02;12/9/2025;1
U000411;4/9/2025;DE;Android;Paid Search;P01;;0
U000412;23/2/2025;ES;Android;Partnership;P02;;0
U000413;23/10/2025;ES;iOS;Paid Search;P01;1/11/2025;1
U000414;4/9/2025;DE;Android;Referral;P01;9/9/2025;1
U000415;22/4/2025;ES;iOS;Paid Social;P02;2/5/2025;1
U000416;31/7/2025;ES;Android;Paid Social;P03;1/8/2025;1
U000417;6/12/2025;IT;iOS;Paid Social;P02;;0
U000418;1/11/2025;DE;Android;Paid Social;P01;;0
U000419;18/9/2025;NL;Android;Referral;P01;;0
U000420;8/4/2025;DE;iOS;Paid Search;P02;;0
U000421;5/12/2025;FR;iOS;Referral;P02;6/12/2025;1
U000422;13/1/2025;ES;iOS;Organic;P01;24/1/2025;1
U000423;17/10/2025;PT;Android;Organic;P01;;0
U000424;10/8/2025;ES;Android;Paid Social;P01;;0
U000425;24/12/2025;ES;iOS;Referral;P01;3/1/2026;1
