transaction_id;user_id;transaction_date;tx_type;merchant_category;amount_eur;fee_amount_eur;is_revenue_tx
T00000033;U000002;15/7/2025;Card Payment;Entertainment;35,26;0,28;1
T00000034;U000002;22/7/2025;Card Payment;Online Retail;69,77;0,56;1
T00000035;U000002;15/8/2025;Card Payment;Online Retail;39,38;0,32;1
T00000036;U000002;10/8/2025;Card Payment;Dining;15,71;0,13;1
T00000037;U000002;1/8/2025;Bank Transfer;Transfer;126,65;0;0
T00000038;U000002;31/8/2025;Card Payment;Online Retail;13,12;0,1;1
T00000039;U000002;14/8/2025;Card Payment;Entertainment;21,49;0,17;1
T00000040;U000002;21/8/2025;Card Payment;Entertainment;44,37;0,35;1
T00000041;U000002;29/8/2025;Card Payment;Utilities;53,64;0,43;1
T00000042;U000002;11/8/2025;Card Payment;Dining;18,41;0,15;1
T00000043;U000002;2/8/2025;Card Payment;Dining;15,9;0,13;1
T00000044;U000002;25/8/2025;Card Payment;Entertainment;56,81;0,45;1
T00000045;U000002;19/9/2025;Card Payment;Utilities;30,98;0,25;1
T00000046;U000002;21/9/2025;Card Payment;Dining;40,24;0,32;1
T00000047;U000002;27/9/2025;Card Payment;Travel;16,55;0,13;1
T00000048;U000002;11/9/2025;Card Payment;Dining;60,61;0,48;1
T00000049;U000002;27/10/2025;Card Payment;Utilities;28,54;0,23;1
T00000050;U000002;2/10/2025;Card Payment;Groceries;76,79;0,61;1
T00000051;U000002;29/10/2025;Bank Transfer;Transfer;78,42;0;0
T00000052;U000004;30/12/2025;Bank Transfer;Transfer;25,67;0,1;1
T00000053;U000004;31/12/2025;Card Payment;Groceries;111,44;1,11;1
T00000054;U000004;30/12/2025;Card Payment;Entertainment;13,18;0,13;1
T00000055;U000005;30/10/2025;Card Payment;Transport;39,97;0,4;1
T00000056;U000005;29/10/2025;Card Payment;Transport;6,35;0,06;1
T00000057;U000005;30/10/2025;Bank Transfer;Transfer;55,28;0,22;1
T00000058;U000005;31/10/2025;Card Payment;Online Retail;54,11;0,54;1
T00000059;U000005;29/10/2025;Card Payment;Dining;22,14;0,22;1
T00000060;U000005;31/10/2025;Bank Transfer;Transfer;27,28;0,11;1
T00000061;U000005;30/10/2025;Card Payment;Groceries;14,58;0,15;1
T00000062;U000005;26/11/2025;Bank Transfer;Transfer;51,44;0;0
T00000063;U000005;21/11/2025;Card Payment;Transport;38,83;0,39;1
T00000064;U000005;13/11/2025;Card Payment;Groceries;33,1;0,33;1
T00000065;U000005;7/11/2025;Card Payment;Online Retail;18,45;0,18;1
T00000066;U000005;9/12/2025;Bank Transfer;Transfer;25,28;0,1;1
T00000067;U000005;28/12/2025;Card Payment;Dining;3,05;0,03;1
T00000068;U000005;5/12/2025;Card Payment;Fuel;56,82;0,57;1
T00000069;U000006;26/11/2025;Card Payment;Online Retail;33,9;0,34;1
T00000070;U000006;27/11/2025;Card Payment;Groceries;43,11;0,43;1
T00000071;U000006;27/11/2025;Card Payment;Dining;10,37;0,1;1
T00000072;U000006;26/11/2025;Bank Transfer;Transfer;150,65;0;0
T00000073;U000006;28/11/2025;Card Payment;Utilities;16,72;0,17;1
T00000074;U000006;21/11/2025;Cash Withdrawal;ATM;100;0;0
T00000075;U000006;21/11/2025;Card Payment;Groceries;20,58;0,21;1
T00000076;U000006;23/12/2025;Bank Transfer;Transfer;105,46;0,42;1
T00000077;U000006;17/12/2025;Card Payment;Online Retail;102,59;1,03;1
T00000078;U000007;18/8/2025;Bank Transfer;Transfer;85,77;0,34;1
T00000079;U000007;9/8/2025;Card Payment;Travel;26,31;0,26;1
T00000080;U000007;7/9/2025;Card Payment;Transport;16,47;0,16;1
T00000081;U000007;28/9/2025;Card Payment;Dining;26,54;0,27;1
T00000082;U000007;27/10/2025;Bank Transfer;Transfer;68,58;0;0
T00000083;U000007;1/10/2025;Card Payment;Online Retail;27,44;0,27;1
T00000084;U000007;19/10/2025;Card Payment;Dining;21,25;0,21;1
T00000085;U000007;8/10/2025;Bank Transfer;Transfer;39,27;0,16;1
T00000086;U000007;16/11/2025;Card Payment;Travel;18,2;0,18;1
T00000087;U000007;23/11/2025;Card Payment;Travel;21,85;0,22;1
T00000088;U000007;11/12/2025;Bank Transfer;Transfer;32,39;0,13;1
T00000089;U000007;19/12/2025;Bank Transfer;Transfer;125,66;0,5;1
T00000090;U000007;4/12/2025;Card Payment;Groceries;30,93;0,31;1
T00000091;U000007;5/12/2025;Card Payment;Utilities;11,92;0,12;1
T00000092;U000012;2/5/2025;Card Payment;Groceries;20,75;0,21;1
T00000093;U000012;6/5/2025;Card Payment;Online Retail;347,67;3,48;1
T00000094;U000012;23/7/2025;Card Payment;Travel;45,85;0,46;1
T00000095;U000012;12/8/2025;Bank Transfer;Transfer;48,73;0,19;1
T00000096;U000012;11/8/2025;Bank Transfer;Transfer;154,87;0,62;1
T00000097;U000012;21/8/2025;Card Payment;Dining;16,26;0,16;1
T00000098;U000012;7/9/2025;Card Payment;Fuel;19,67;0,2;1
T00000099;U000013;28/12/2025;Card Payment;Online Retail;88,89;0,89;1
T00000100;U000013;27/12/2025;Card Payment;Online Retail;13,64;0,14;1
T00000101;U000013;21/12/2025;Card Payment;Transport;119,43;1,19;1
T00000102;U000014;14/12/2025;Bank Transfer;Transfer;51,63;0;0
T00000103;U000016;21/7/2025;Card Payment;Transport;26,59;0,27;1
T00000104;U000016;16/7/2025;Card Payment;Dining;49,15;0,49;1
T00000105;U000016;21/7/2025;Card Payment;Transport;40,46;0,4;1
T00000106;U000016;28/8/2025;Card Payment;Online Retail;44,13;0,44;1
T00000107;U000016;16/8/2025;Cash Withdrawal;ATM;150;0;0
T00000108;U000016;24/8/2025;Card Payment;Utilities;28,75;0,29;1
T00000109;U000016;25/8/2025;Card Payment;Groceries;35,34;0,35;1
T00000110;U000016;12/9/2025;Card Payment;Utilities;19,26;0,19;1
T00000111;U000016;29/9/2025;Card Payment;Dining;11,79;0,12;1
T00000112;U000016;28/9/2025;Card Payment;Travel;32,36;0,32;1
T00000113;U000016;10/9/2025;Card Payment;Transport;17,94;0,18;1
T00000114;U000018;20/11/2025;Bank Transfer;Transfer;101,72;0,41;1
T00000115;U000018;19/11/2025;Card Payment;Dining;32,5;0,32;1
T00000116;U000018;10/12/2025;Bank Transfer;Transfer;30,35;0,12;1
T00000117;U000018;7/12/2025;Bank Transfer;Transfer;36,93;0;0
T00000118;U000018;22/12/2025;Bank Transfer;Transfer;140,65;0;0
T00000119;U000018;24/12/2025;Card Payment;Online Retail;17,74;0,18;1
T00000120;U000018;13/12/2025;Bank Transfer;Transfer;53,42;0;0
T00000121;U000018;9/12/2025;Bank Transfer;Transfer;29,8;0;0
T00000122;U000018;15/12/2025;Bank Transfer;Transfer;64,15;0,26;1
T00000123;U000019;24/7/2025;Card Payment;Entertainment;38,45;0,38;1
T00000124;U000019;15/7/2025;Card Payment;Dining;30,58;0,31;1
T00000125;U000019;24/7/2025;Card Payment;Travel;43,28;0,43;1
T00000126;U000019;17/7/2025;Card Payment;Dining;24,08;0,24;1
T00000127;U000019;24/7/2025;Card Payment;Groceries;72,83;0,73;1
T00000128;U000019;17/7/2025;Card Payment;Dining;18,23;0,18;1
T00000129;U000019;7/8/2025;Card Payment;Fuel;12,29;0,12;1
T00000130;U000019;20/8/2025;Card Payment;Online Retail;25,08;0,25;1
T00000131;U000019;12/9/2025;Card Payment;Transport;30,61;0,31;1
T00000132;U000019;21/9/2025;Card Payment;Dining;11,92;0,12;1
T00000133;U000019;5/9/2025;Card Payment;Utilities;21,22;0,21;1
T00000134;U000019;16/9/2025;Cash Withdrawal;ATM;150;0;0
T00000135;U000019;26/10/2025;Bank Transfer;Transfer;16,16;0,06;1
T00000136;U000019;2/10/2025;Card Payment;Online Retail;37,18;0,37;1
T00000137;U000019;10/10/2025;Card Payment;Travel;28,52;0,29;1
T00000138;U000019;8/10/2025;Card Payment;Groceries;9,24;0,09;1
T00000139;U000019;26/10/2025;Card Payment;Entertainment;26,33;0,26;1
T00000140;U000019;18/10/2025;Card Payment;Transport;31,07;0,31;1
T00000141;U000019;18/11/2025;Card Payment;Dining;72,82;0,73;1
T00000142;U000019;9/11/2025;Cash Withdrawal;ATM;40;0;0
T00000143;U000019;5/11/2025;Card Payment;Dining;32,68;0,33;1
T00000144;U000019;5/11/2025;Card Payment;Dining;29,22;0,29;1
T00000145;U000019;15/11/2025;Card Payment;Utilities;33,46;0,33;1
T00000146;U000019;30/12/2025;Card Payment;Dining;33,5;0,34;1
T00000147;U000019;12/12/2025;Bank Transfer;Transfer;177,24;0;0
T00000148;U000019;5/12/2025;Card Payment;Fuel;82,14;0,82;1
T00000149;U000019;13/12/2025;Bank Transfer;Transfer;238,26;0,95;1
T00000150;U000019;30/12/2025;Card Payment;Fuel;23,41;0,23;1
T00000151;U000019;1/12/2025;Card Payment;Fuel;45,77;0,46;1
T00000152;U000024;30/10/2025;Bank Transfer;Transfer;202,43;0,61;1
T00000153;U000024;27/10/2025;Bank Transfer;Transfer;48,92;0,15;1
T00000154;U000024;28/10/2025;Card Payment;Online Retail;25,46;0,2;1
T00000155;U000024;3/11/2025;Card Payment;Online Retail;25,72;0,21;1
T00000156;U000024;1/11/2025;Card Payment;Online Retail;25,94;0,21;1
T00000157;U000024;22/12/2025;Card Payment;Fuel;71,82;0,57;1
T00000158;U000024;1/12/2025;Card Payment;Utilities;17,03;0,14;1
T00000159;U000024;13/12/2025;Card Payment;Utilities;14;0,11;1
T00000160;U000026;19/6/2025;Card Payment;Groceries;48,67;0,49;1
T00000161;U000026;24/6/2025;Card Payment;Fuel;74,12;0,74;1
T00000162;U000026;2/7/2025;Card Payment;Groceries;26,98;0,27;1
T00000163;U000026;1/7/2025;Card Payment;Entertainment;70,26;0,7;1
T00000164;U000026;5/7/2025;Card Payment;Fuel;11,37;0,11;1
T00000165;U000026;28/8/2025;Card Payment;Utilities;29,16;0,29;1
T00000166;U000026;5/8/2025;Card Payment;Utilities;51,15;0,51;1
T00000167;U000026;16/8/2025;Cash Withdrawal;ATM;100;0;0
T00000168;U000026;20/9/2025;Card Payment;Online Retail;14,01;0,14;1
T00000169;U000026;10/9/2025;Bank Transfer;Transfer;34,7;0,14;1
T00000170;U000027;30/5/2025;Card Payment;Entertainment;90,02;0,54;1
T00000171;U000027;7/5/2025;Bank Transfer;Transfer;207,3;0,41;1
T00000172;U000027;17/5/2025;Card Payment;Online Retail;24,31;0,15;1
T00000173;U000027;21/5/2025;Bank Transfer;Transfer;10;0,02;1
T00000174;U000027;21/6/2025;Bank Transfer;Transfer;20,06;0;0
T00000175;U000027;20/6/2025;Card Payment;Groceries;26,22;0,16;1
T00000176;U000027;13/6/2025;Card Payment;Travel;27,97;0,17;1
T00000177;U000027;1/6/2025;Card Payment;Online Retail;41,08;0,25;1
T00000178;U000027;1/6/2025;Bank Transfer;Transfer;18,78;0,04;1
T00000179;U000028;29/8/2025;Card Payment;Dining;32,65;0,33;1
T00000180;U000028;22/8/2025;Bank Transfer;Transfer;35,84;0;0
T00000181;U000028;26/8/2025;Card Payment;Groceries;89,64;0,9;1
T00000182;U000028;22/8/2025;Bank Transfer;Transfer;29,77;0;0
T00000183;U000028;24/8/2025;Bank Transfer;Transfer;21,84;0,09;1
T00000184;U000028;31/8/2025;Card Payment;Groceries;43,4;0,43;1
T00000185;U000028;12/9/2025;Bank Transfer;Transfer;41,3;0;0
T00000186;U000028;16/9/2025;Card Payment;Online Retail;28,48;0,28;1
T00000187;U000028;23/9/2025;Bank Transfer;Transfer;33,75;0,14;1
T00000188;U000028;31/10/2025;Card Payment;Utilities;25,29;0,25;1
T00000189;U000028;25/10/2025;Card Payment;Online Retail;57,3;0,57;1
T00000190;U000028;16/10/2025;Card Payment;Groceries;34,43;0,34;1
T00000191;U000028;11/10/2025;Card Payment;Transport;36,35;0,36;1
T00000192;U000028;30/11/2025;Card Payment;Groceries;41,28;0,41;1
T00000193;U000028;28/11/2025;Card Payment;Transport;28,04;0,28;1
T00000194;U000028;26/11/2025;Card Payment;Fuel;27,54;0,28;1
T00000195;U000028;22/12/2025;Card Payment;Transport;51,97;0,52;1
T00000196;U000028;28/12/2025;Card Payment;Fuel;15,45;0,15;1
T00000197;U000028;16/12/2025;Card Payment;Dining;26,2;0,26;1
T00000198;U000028;2/12/2025;Bank Transfer;Transfer;68,27;0,27;1
T00000199;U000029;26/5/2025;Card Payment;Transport;38,52;0,31;1
T00000200;U000029;26/5/2025;Card Payment;Travel;23,35;0,19;1
T00000201;U000029;28/6/2025;Card Payment;Dining;23,14;0,19;1
T00000202;U000029;20/6/2025;Card Payment;Online Retail;22,65;0,18;1
T00000203;U000029;9/6/2025;Card Payment;Groceries;38,91;0,31;1
T00000204;U000029;31/7/2025;Card Payment;Groceries;40,65;0,33;1
T00000205;U000029;2/7/2025;Bank Transfer;Transfer;63,64;0;0
T00000206;U000029;15/7/2025;Card Payment;Travel;26,55;0,21;1
T00000207;U000029;7/7/2025;Card Payment;Transport;36,29;0,29;1
T00000208;U000029;26/7/2025;Card Payment;Online Retail;18,96;0,15;1
T00000209;U000029;21/7/2025;Card Payment;Groceries;72,95;0,58;1
T00000210;U000029;29/7/2025;Card Payment;Travel;12,73;0,1;1
T00000211;U000029;31/7/2025;Card Payment;Online Retail;30,74;0,25;1
T00000212;U000029;4/7/2025;Bank Transfer;Transfer;85,71;0;0
T00000213;U000029;15/8/2025;Cash Withdrawal;ATM;100;0;0
T00000214;U000029;2/9/2025;Card Payment;Groceries;24,07;0,19;1
T00000215;U000029;10/9/2025;Card Payment;Groceries;26,04;0,21;1
T00000216;U000029;21/9/2025;Card Payment;Online Retail;82,23;0,66;1
T00000217;U000029;21/9/2025;Bank Transfer;Transfer;29,74;0,09;1
T00000218;U000029;26/9/2025;Card Payment;Transport;10,78;0,09;1
T00000219;U000029;17/9/2025;Bank Transfer;Transfer;92,41;0;0
T00000220;U000029;14/10/2025;Card Payment;Groceries;19,69;0,16;1
T00000221;U000029;24/10/2025;Card Payment;Groceries;41,67;0,33;1
T00000222;U000029;14/11/2025;Card Payment;Groceries;23,99;0,19;1
T00000223;U000029;11/11/2025;Card Payment;Groceries;25,44;0,2;1
T00000224;U000029;19/12/2025;Card Payment;Groceries;17,8;0,14;1
T00000225;U000029;3/12/2025;Card Payment;Utilities;13,69;0,11;1
T00000226;U000030;23/3/2025;Card Payment;Dining;18,38;0,18;1
T00000227;U000030;25/3/2025;Card Payment;Groceries;48,65;0,49;1
T00000228;U000030;4/4/2025;Card Payment;Entertainment;35,25;0,35;1
T00000229;U000030;7/4/2025;Card Payment;Groceries;19,09;0,19;1
T00000230;U000030;15/5/2025;Bank Transfer;Transfer;51,97;0;0
T00000231;U000030;19/5/2025;Card Payment;Dining;44,54;0,45;1
T00000232;U000030;29/6/2025;Card Payment;Online Retail;8,35;0,08;1
T00000233;U000030;20/6/2025;Card Payment;Travel;58,65;0,59;1
T00000234;U000030;26/6/2025;Bank Transfer;Transfer;14;0,06;1
T00000235;U000030;10/7/2025;Card Payment;Utilities;65,29;0,65;1
T00000236;U000030;12/7/2025;Bank Transfer;Transfer;17,3;0,07;1
T00000237;U000030;16/7/2025;Card Payment;Utilities;19,67;0,2;1
T00000238;U000030;14/7/2025;Card Payment;Dining;38,65;0,39;1
T00000239;U000030;11/7/2025;Bank Transfer;Transfer;33,7;0,13;1
T00000240;U000032;30/9/2025;Card Payment;Travel;17,36;0,17;1
T00000241;U000032;30/9/2025;Card Payment;Dining;7,33;0,07;1
T00000242;U000032;30/9/2025;Card Payment;Groceries;37,65;0,38;1
T00000243;U000032;30/9/2025;Card Payment;Dining;70,06;0,7;1
T00000244;U000032;13/10/2025;Card Payment;Dining;28,3;0,28;1
T00000245;U000032;10/10/2025;Card Payment;Transport;12,04;0,12;1
T00000246;U000032;12/10/2025;Cash Withdrawal;ATM;100;0;0
T00000247;U000032;12/10/2025;Card Payment;Entertainment;29,3;0,29;1
T00000248;U000032;2/10/2025;Card Payment;Transport;34,23;0,34;1
T00000249;U000032;7/11/2025;Bank Transfer;Transfer;49,99;0,2;1
T00000250;U000032;3/11/2025;Cash Withdrawal;ATM;150;0;0
T00000251;U000032;26/11/2025;Card Payment;Utilities;70,58;0,71;1
T00000252;U000032;23/11/2025;Card Payment;Fuel;47,01;0,47;1
T00000253;U000032;25/11/2025;Card Payment;Transport;10,61;0,11;1
T00000254;U000032;15/11/2025;Card Payment;Dining;14,06;0,14;1
T00000255;U000032;10/12/2025;Bank Transfer;Transfer;16,43;0;0
T00000256;U000032;7/12/2025;Card Payment;Groceries;37,7;0,38;1
T00000257;U000032;11/12/2025;Card Payment;Groceries;28,6;0,29;1
T00000258;U000032;9/12/2025;Card Payment;Entertainment;20,08;0,2;1
T00000259;U000032;18/12/2025;Card Payment;Utilities;38,76;0,39;1
T00000260;U000032;31/12/2025;Bank Transfer;Transfer;123,49;0;0
T00000261;U000033;21/4/2025;Card Payment;Travel;23,36;0,23;1
T00000262;U000033;18/4/2025;Bank Transfer;Transfer;190,13;0,76;1
T00000263;U000033;9/6/2025;Card Payment;Online Retail;57,24;0,57;1
T00000264;U000033;1/6/2025;Card Payment;Groceries;20,3;0,2;1
T00000265;U000033;18/6/2025;Card Payment;Transport;65,78;0,66;1
T00000266;U000033;4/9/2025;Card Payment;Entertainment;17,54;0,18;1
T00000267;U000033;12/9/2025;Bank Transfer;Transfer;71,22;0,28;1
T00000268;U000033;26/9/2025;Card Payment;Online Retail;101,16;1,01;1
T00000269;U000033;21/10/2025;Card Payment;Utilities;25,99;0,26;1
T00000270;U000033;30/10/2025;Bank Transfer;Transfer;111,92;0;0
T00000271;U000033;16/11/2025;Card Payment;Utilities;22,89;0,23;1
T00000272;U000033;21/11/2025;Card Payment;Groceries;70,61;0,71;1
T00000273;U000034;31/7/2025;Bank Transfer;Transfer;68,68;0;0
T00000274;U000034;29/7/2025;Card Payment;Online Retail;16,19;0,1;1
T00000275;U000034;29/7/2025;Cash Withdrawal;ATM;20;0;0
T00000276;U000034;31/7/2025;Card Payment;Dining;13,68;0,08;1
T00000277;U000034;31/7/2025;Card Payment;Online Retail;20,54;0,12;1
T00000278;U000034;31/7/2025;Cash Withdrawal;ATM;100;0;0
T00000279;U000034;30/7/2025;Card Payment;Dining;71,31;0,43;1
T00000280;U000034;8/8/2025;Card Payment;Entertainment;62,37;0,37;1
T00000281;U000034;7/8/2025;Card Payment;Groceries;42,59;0,26;1
T00000282;U000034;12/8/2025;Card Payment;Groceries;45,64;0,27;1
T00000283;U000034;9/8/2025;Bank Transfer;Transfer;56,47;0,11;1
T00000284;U000034;17/8/2025;Card Payment;Online Retail;7,35;0,04;1
T00000285;U000034;13/8/2025;Card Payment;Groceries;43,72;0,26;1
T00000286;U000034;27/9/2025;Bank Transfer;Transfer;91,22;0;0
T00000287;U000034;8/9/2025;Card Payment;Transport;7,74;0,05;1
T00000288;U000034;20/9/2025;Card Payment;Groceries;38,53;0,23;1
T00000289;U000034;30/9/2025;Card Payment;Fuel;26,02;0,16;1
T00000290;U000034;7/10/2025;Card Payment;Groceries;16,2;0,1;1
T00000291;U000034;18/10/2025;Card Payment;Fuel;24,24;0,15;1
T00000292;U000034;28/10/2025;Card Payment;Utilities;40,74;0,24;1
T00000293;U000034;7/10/2025;Card Payment;Dining;93,22;0,56;1
T00000294;U000034;3/11/2025;Card Payment;Fuel;88,02;0,53;1
T00000295;U000034;19/11/2025;Card Payment;Dining;42,67;0,26;1
T00000296;U000034;21/11/2025;Bank Transfer;Transfer;108,49;0;0
T00000297;U000034;9/11/2025;Bank Transfer;Transfer;255,63;0;0
T00000298;U000034;2/11/2025;Card Payment;Entertainment;47,01;0,28;1
T00000299;U000034;26/11/2025;Card Payment;Transport;40,76;0,24;1
T00000300;U000034;4/11/2025;Card Payment;Travel;44,89;0,27;1
T00000301;U000034;22/11/2025;Card Payment;Dining;12,4;0,07;1
T00000302;U000034;30/11/2025;Card Payment;Travel;20,48;0,12;1
T00000303;U000034;28/11/2025;Card Payment;Online Retail;48,25;0,29;1
T00000304;U000034;7/11/2025;Card Payment;Groceries;29,38;0,18;1
T00000305;U000034;19/11/2025;Cash Withdrawal;ATM;40;0;0
T00000306;U000034;29/11/2025;Card Payment;Online Retail;36,85;0,22;1
T00000307;U000034;22/12/2025;Card Payment;Online Retail;20,64;0,12;1
T00000308;U000034;2/12/2025;Card Payment;Online Retail;10,94;0,07;1
T00000309;U000034;31/12/2025;Card Payment;Groceries;58,36;0,35;1
T00000310;U000034;7/12/2025;Bank Transfer;Transfer;175,57;0,35;1
T00000311;U000034;3/12/2025;Bank Transfer;Transfer;77,97;0,16;1
T00000312;U000035;13/5/2025;Card Payment;Entertainment;136,78;1,09;1
T00000313;U000035;29/5/2025;Cash Withdrawal;ATM;150;0;0
T00000314;U000035;18/6/2025;Card Payment;Fuel;45,77;0,37;1
T00000315;U000035;31/7/2025;Card Payment;Online Retail;57,27;0,46;1
T00000316;U000035;18/7/2025;Card Payment;Entertainment;43,35;0,35;1
T00000317;U000035;16/8/2025;Card Payment;Travel;51,33;0,41;1
T00000318;U000035;7/9/2025;Card Payment;Dining;36,28;0,29;1
T00000319;U000035;5/9/2025;Card Payment;Groceries;19,44;0,16;1
T00000320;U000035;11/9/2025;Card Payment;Groceries;31,73;0,25;1
T00000321;U000035;25/11/2025;Card Payment;Dining;25,3;0,2;1
T00000322;U000035;2/11/2025;Card Payment;Online Retail;26,95;0,22;1
T00000323;U000035;25/11/2025;Card Payment;Dining;23,41;0,19;1
T00000324;U000035;30/12/2025;Card Payment;Online Retail;38,86;0,31;1
T00000325;U000036;25/3/2025;Bank Transfer;Transfer;47,93;0,19;1
T00000326;U000036;3/4/2025;Card Payment;Groceries;74,76;0,75;1
T00000327;U000036;7/4/2025;Bank Transfer;Transfer;19,22;0,08;1
T00000328;U000036;29/4/2025;Card Payment;Dining;59,39;0,59;1
T00000329;U000036;29/4/2025;Card Payment;Fuel;44,58;0,45;1
T00000330;U000036;6/5/2025;Card Payment;Transport;11,19;0,11;1
T00000331;U000036;9/5/2025;Card Payment;Utilities;16,8;0,17;1
T00000332;U000036;9/5/2025;Cash Withdrawal;ATM;60;0;0
T00000333;U000036;27/5/2025;Card Payment;Fuel;24,76;0,25;1
T00000334;U000036;21/6/2025;Card Payment;Groceries;20,6;0,21;1
T00000335;U000036;30/7/2025;Card Payment;Dining;51,7;0,52;1
T00000336;U000036;13/7/2025;Card Payment;Entertainment;27,29;0,27;1
T00000337;U000036;12/7/2025;Card Payment;Online Retail;55,7;0,56;1
T00000338;U000036;26/8/2025;Card Payment;Fuel;18,91;0,19;1
T00000339;U000036;9/8/2025;Card Payment;Utilities;51,01;0,51;1
T00000340;U000036;18/8/2025;Bank Transfer;Transfer;46,39;0,19;1
T00000341;U000036;12/8/2025;Card Payment;Travel;19,07;0,19;1
T00000342;U000036;16/8/2025;Card Payment;Entertainment;49,63;0,5;1
T00000343;U000036;19/8/2025;Card Payment;Transport;22,9;0,23;1
T00000344;U000036;1/9/2025;Bank Transfer;Transfer;23,62;0,09;1
T00000345;U000036;20/11/2025;Card Payment;Transport;42,61;0,43;1
T00000346;U000036;4/12/2025;Card Payment;Groceries;32,18;0,32;1
T00000347;U000036;8/12/2025;Card Payment;Online Retail;101,07;1,01;1
T00000348;U000037;30/8/2025;Bank Transfer;Transfer;15,77;0,05;1
T00000349;U000037;30/8/2025;Bank Transfer;Transfer;66,15;0,2;1
T00000350;U000037;30/8/2025;Bank Transfer;Transfer;18,72;0,06;1
T00000351;U000037;28/9/2025;Card Payment;Fuel;28,24;0,23;1
T00000352;U000037;19/9/2025;Bank Transfer;Transfer;95,02;0,29;1
T00000353;U000037;14/10/2025;Bank Transfer;Transfer;81,37;0;0
T00000354;U000037;15/10/2025;Bank Transfer;Transfer;12,96;0,04;1
T00000355;U000037;17/11/2025;Card Payment;Entertainment;10,76;0,09;1
T00000356;U000037;26/12/2025;Bank Transfer;Transfer;10;0;0
T00000357;U000037;13/12/2025;Card Payment;Online Retail;7,89;0,06;1
T00000358;U000037;13/12/2025;Card Payment;Entertainment;21,03;0,17;1
T00000359;U000037;3/12/2025;Bank Transfer;Transfer;198,54;0;0
T00000360;U000039;16/7/2025;Bank Transfer;Transfer;28,29;0,11;1
T00000361;U000039;15/7/2025;Bank Transfer;Transfer;82,8;0;0
T00000362;U000039;15/7/2025;Cash Withdrawal;ATM;60;0;0
T00000363;U000039;13/7/2025;Bank Transfer;Transfer;123,64;0,49;1
T00000364;U000039;30/7/2025;Card Payment;Utilities;32,72;0,33;1
T00000365;U000039;22/8/2025;Card Payment;Transport;22,79;0,23;1
T00000366;U000039;19/8/2025;Card Payment;Dining;28,28;0,28;1
T00000367;U000039;3/8/2025;Card Payment;Travel;29,12;0,29;1
T00000368;U000039;29/8/2025;Bank Transfer;Transfer;106,11;0,42;1
T00000369;U000039;1/9/2025;Bank Transfer;Transfer;40,3;0,16;1
T00000370;U000039;12/9/2025;Card Payment;Dining;9,18;0,09;1
T00000371;U000039;31/10/2025;Bank Transfer;Transfer;156,71;0,63;1
T00000372;U000039;30/10/2025;Card Payment;Groceries;44,63;0,45;1
T00000373;U000039;27/10/2025;Card Payment;Transport;57,26;0,57;1
T00000374;U000039;30/11/2025;Card Payment;Dining;45,41;0,45;1
