subscription_row_id;user_id;month;plan_id;monthly_fee_eur
S000000268;U000170;1/9/2025;P02;6,99
S000000269;U000170;1/10/2025;P02;6,99
S000000270;U000170;1/11/2025;P02;6,99
S000000271;U000170;1/12/2025;P02;6,99
S000000272;U000171;1/9/2025;P02;6,99
S000000273;U000171;1/10/2025;P02;6,99
S000000274;U000171;1/11/2025;P02;6,99
S000000275;U000171;1/12/2025;P02;6,99
S000000276;U000174;1/8/2025;P02;6,99
S000000277;U000174;1/9/2025;P02;6,99
S000000278;U000174;1/10/2025;P02;6,99
S000000279;U000174;1/11/2025;P02;6,99
S000000280;U000174;1/12/2025;P02;6,99
S000000281;U000175;1/7/2025;P03;14,99
S000000282;U000175;1/8/2025;P03;14,99
S000000283;U000175;1/9/2025;P03;14,99
S000000284;U000176;1/4/2025;P03;14,99
S000000285;U000176;1/5/2025;P03;14,99
S000000286;U000176;1/6/2025;P03;14,99
S000000287;U000176;1/7/2025;P03;14,99
S000000288;U000176;1/8/2025;P03;14,99
S000000289;U000176;1/9/2025;P03;14,99
S000000290;U000176;1/10/2025;P03;14,99
S000000291;U000176;1/11/2025;P03;14,99
S000000292;U000178;1/11/2025;P02;6,99
S000000293;U000178;1/12/2025;P02;6,99
S000000294;U000180;1/11/2025;P02;6,99
S000000295;U000180;1/12/2025;P02;6,99
S000000296;U000182;1/7/2025;P02;6,99
S000000297;U000182;1/8/2025;P02;6,99
S000000298;U000182;1/9/2025;P02;6,99
S000000299;U000182;1/10/2025;P02;6,99
S000000300;U000182;1/11/2025;P02;6,99
S000000301;U000182;1/12/2025;P02;6,99
S000000302;U000183;1/2/2025;P03;14,99
S000000303;U000183;1/3/2025;P03;14,99
S000000304;U000183;1/4/2025;P03;14,99
S000000305;U000183;1/5/2025;P03;14,99
S000000306;U000185;1/10/2025;P03;14,99
S000000307;U000185;1/11/2025;P03;14,99
S000000308;U000185;1/12/2025;P03;14,99
S000000309;U000195;1/7/2025;P02;6,99
S000000310;U000195;1/8/2025;P02;6,99
S000000311;U000195;1/9/2025;P02;6,99
S000000312;U000195;1/10/2025;P02;6,99
S000000313;U000195;1/11/2025;P02;6,99
S000000314;U000195;1/12/2025;P02;6,99
S000000315;U000199;1/3/2025;P02;6,99
S000000316;U000199;1/4/2025;P02;6,99
S000000317;U000199;1/5/2025;P02;6,99
S000000318;U000199;1/6/2025;P02;6,99
S000000319;U000199;1/7/2025;P02;6,99
S000000320;U000199;1/8/2025;P02;6,99
S000000321;U000199;1/9/2025;P02;6,99
S000000322;U000199;1/10/2025;P02;6,99
S000000323;U000199;1/11/2025;P02;6,99
S000000324;U000199;1/12/2025;P02;6,99
S000000325;U000201;1/1/2025;P02;6,99
S000000326;U000201;1/2/2025;P02;6,99
S000000327;U000201;1/3/2025;P02;6,99
S000000328;U000201;1/4/2025;P02;6,99
S000000329;U000201;1/5/2025;P02;6,99
S000000330;U000201;1/6/2025;P02;6,99
S000000331;U000201;1/7/2025;P02;6,99
S000000332;U000201;1/8/2025;P02;6,99
S000000333;U000201;1/9/2025;P02;6,99
S000000334;U000201;1/10/2025;P02;6,99
S000000335;U000201;1/11/2025;P02;6,99
S000000336;U000201;1/12/2025;P02;6,99
S000000337;U000202;1/2/2025;P02;6,99
S000000338;U000202;1/3/2025;P02;6,99
S000000339;U000202;1/4/2025;P02;6,99
S000000340;U000202;1/5/2025;P02;6,99
S000000341;U000202;1/6/2025;P02;6,99
S000000342;U000202;1/7/2025;P02;6,99
S000000343;U000202;1/8/2025;P02;6,99
S000000344;U000202;1/9/2025;P02;6,99
S000000345;U000202;1/10/2025;P02;6,99
S000000346;U000202;1/11/2025;P02;6,99
S000000347;U000202;1/12/2025;P02;6,99
S000000348;U000203;1/8/2025;P02;6,99
S000000349;U000203;1/9/2025;P02;6,99
S000000350;U000203;1/10/2025;P02;6,99
S000000351;U000203;1/11/2025;P02;6,99
S000000352;U000203;1/12/2025;P02;6,99
S000000353;U000218;1/3/2025;P02;6,99
S000000354;U000218;1/4/2025;P02;6,99
S000000355;U000218;1/5/2025;P02;6,99
S000000356;U000218;1/6/2025;P02;6,99
S000000357;U000218;1/7/2025;P02;6,99
S000000358;U000218;1/8/2025;P02;6,99
S000000359;U000218;1/9/2025;P02;6,99
S000000360;U000218;1/10/2025;P02;6,99
S000000361;U000218;1/11/2025;P02;6,99
S000000362;U000219;1/8/2025;P02;6,99
S000000363;U000219;1/9/2025;P02;6,99
S000000364;U000219;1/10/2025;P02;6,99
S000000365;U000219;1/11/2025;P02;6,99
S000000366;U000219;1/12/2025;P02;6,99
S000000367;U000223;1/7/2025;P02;6,99
S000000368;U000223;1/8/2025;P02;6,99
S000000369;U000223;1/9/2025;P02;6,99
S000000370;U000223;1/10/2025;P02;6,99
S000000371;U000223;1/11/2025;P02;6,99
S000000372;U000223;1/12/2025;P02;6,99
S000000373;U000229;1/5/2025;P02;6,99
S000000374;U000229;1/6/2025;P02;6,99
S000000375;U000229;1/7/2025;P02;6,99
S000000376;U000229;1/8/2025;P02;6,99
S000000377;U000229;1/9/2025;P02;6,99
S000000378;U000229;1/10/2025;P02;6,99
S000000379;U000229;1/11/2025;P02;6,99
S000000380;U000229;1/12/2025;P02;6,99
S000000381;U000231;1/10/2025;P02;6,99
S000000382;U000231;1/11/2025;P02;6,99
S000000383;U000231;1/12/2025;P02;6,99
S000000384;U000232;1/3/2025;P03;14,99
S000000385;U000232;1/4/2025;P03;14,99
S000000386;U000232;1/5/2025;P03;14,99
S000000387;U000232;1/6/2025;P03;14,99
S000000388;U000232;1/7/2025;P03;14,99
S000000389;U000232;1/8/2025;P03;14,99
S000000390;U000232;1/9/2025;P03;14,99
S000000391;U000232;1/10/2025;P03;14,99
S000000392;U000232;1/11/2025;P03;14,99
S000000393;U000232;1/12/2025;P03;14,99
S000000394;U000234;1/6/2025;P02;6,99
S000000395;U000234;1/7/2025;P02;6,99
S000000396;U000234;1/8/2025;P02;6,99
S000000397;U000234;1/9/2025;P02;6,99
S000000398;U000234;1/10/2025;P02;6,99
S000000399;U000234;1/11/2025;P02;6,99
S000000400;U000234;1/12/2025;P02;6,99
S000000401;U000236;1/7/2025;P02;6,99
S000000402;U000236;1/8/2025;P02;6,99
S000000403;U000236;1/9/2025;P02;6,99
S000000404;U000236;1/10/2025;P02;6,99
S000000405;U000236;1/11/2025;P02;6,99
S000000406;U000236;1/12/2025;P02;6,99
S000000407;U000239;1/5/2025;P03;14,99
S000000408;U000239;1/6/2025;P03;14,99
S000000409;U000239;1/7/2025;P03;14,99
S000000410;U000239;1/8/2025;P03;14,99
S000000411;U000239;1/9/2025;P03;14,99
S000000412;U000239;1/10/2025;P03;14,99
S000000413;U000239;1/11/2025;P03;14,99
S000000414;U000239;1/12/2025;P03;14,99
S000000415;U000241;1/7/2025;P03;14,99
S000000416;U000241;1/8/2025;P03;14,99
S000000417;U000241;1/9/2025;P03;14,99
S000000418;U000241;1/10/2025;P03;14,99
S000000419;U000241;1/11/2025;P03;14,99
S000000420;U000241;1/12/2025;P03;14,99
S000000421;U000244;1/7/2025;P03;14,99
S000000422;U000244;1/8/2025;P03;14,99
S000000423;U000244;1/9/2025;P03;14,99
S000000424;U000244;1/10/2025;P03;14,99
S000000425;U000244;1/11/2025;P03;14,99
S000000426;U000244;1/12/2025;P03;14,99
S000000427;U000254;1/4/2025;P03;14,99
S000000428;U000254;1/5/2025;P03;14,99
S000000429;U000254;1/6/2025;P03;14,99
S000000430;U000254;1/7/2025;P03;14,99
S000000431;U000254;1/8/2025;P03;14,99
S000000432;U000254;1/9/2025;P03;14,99
S000000433;U000254;1/10/2025;P03;14,99
S000000434;U000254;1/11/2025;P03;14,99
S000000435;U000254;1/12/2025;P03;14,99
S000000436;U000255;1/1/2025;P02;6,99
S000000437;U000255;1/2/2025;P02;6,99
S000000438;U000255;1/3/2025;P02;6,99
S000000439;U000255;1/4/2025;P02;6,99
S000000440;U000255;1/5/2025;P02;6,99
S000000441;U000255;1/6/2025;P02;6,99
S000000442;U000255;1/7/2025;P02;6,99
S000000443;U000255;1/8/2025;P02;6,99
S000000444;U000255;1/9/2025;P02;6,99
S000000445;U000255;1/10/2025;P02;6,99
S000000446;U000255;1/11/2025;P02;6,99
S000000447;U000255;1/12/2025;P02;6,99
S000000448;U000257;1/11/2025;P03;14,99
S000000449;U000257;1/12/2025;P03;14,99
S000000450;U000261;1/7/2025;P02;6,99
S000000451;U000261;1/8/2025;P02;6,99
S000000452;U000261;1/9/2025;P02;6,99
S000000453;U000261;1/10/2025;P02;6,99
S000000454;U000261;1/11/2025;P02;6,99
S000000455;U000261;1/12/2025;P02;6,99
S000000456;U000264;1/10/2025;P03;14,99
S000000457;U000264;1/11/2025;P03;14,99
S000000458;U000264;1/12/2025;P03;14,99
S000000459;U000267;1/7/2025;P02;6,99
S000000460;U000267;1/8/2025;P02;6,99
S000000461;U000267;1/9/2025;P02;6,99
S000000462;U000267;1/10/2025;P02;6,99
S000000463;U000267;1/11/2025;P02;6,99
S000000464;U000267;1/12/2025;P02;6,99
S000000465;U000270;1/2/2025;P02;6,99
S000000466;U000270;1/3/2025;P02;6,99
S000000467;U000270;1/4/2025;P02;6,99
S000000468;U000270;1/5/2025;P02;6,99
S000000469;U000270;1/6/2025;P02;6,99
S000000470;U000270;1/7/2025;P02;6,99
S000000471;U000270;1/8/2025;P02;6,99
S000000472;U000270;1/9/2025;P02;6,99
S000000473;U000270;1/10/2025;P02;6,99
S000000474;U000270;1/11/2025;P02;6,99
S000000475;U000270;1/12/2025;P02;6,99
S000000476;U000273;1/9/2025;P03;14,99
S000000477;U000273;1/10/2025;P03;14,99
S000000478;U000273;1/11/2025;P03;14,99
S000000479;U000273;1/12/2025;P03;14,99
S000000480;U000277;1/6/2025;P02;6,99
S000000481;U000277;1/7/2025;P02;6,99
S000000482;U000277;1/8/2025;P02;6,99
S000000483;U000277;1/9/2025;P02;6,99
S000000484;U000277;1/10/2025;P02;6,99
S000000485;U000277;1/11/2025;P02;6,99
S000000486;U000277;1/12/2025;P02;6,99
S000000487;U000278;1/7/2025;P03;14,99
S000000488;U000278;1/8/2025;P03;14,99
S000000489;U000278;1/9/2025;P03;14,99
S000000490;U000278;1/10/2025;P03;14,99
S000000491;U000278;1/11/2025;P03;14,99
S000000492;U000278;1/12/2025;P03;14,99
S000000493;U000289;1/5/2025;P02;6,99
S000000494;U000289;1/6/2025;P02;6,99
S000000495;U000289;1/7/2025;P02;6,99
S000000496;U000289;1/8/2025;P02;6,99
S000000497;U000289;1/9/2025;P02;6,99
S000000498;U000289;1/10/2025;P02;6,99
S000000499;U000289;1/11/2025;P02;6,99
S000000500;U000289;1/12/2025;P02;6,99
S000000501;U000297;1/8/2025;P02;6,99
S000000502;U000297;1/9/2025;P02;6,99
S000000503;U000297;1/10/2025;P02;6,99
S000000504;U000297;1/11/2025;P02;6,99
S000000505;U000297;1/12/2025;P02;6,99
S000000506;U000299;1/7/2025;P02;6,99
S000000507;U000299;1/8/2025;P02;6,99
S000000508;U000299;1/9/2025;P02;6,99
S000000509;U000299;1/10/2025;P02;6,99
S000000510;U000299;1/11/2025;P02;6,99
S000000511;U000299;1/12/2025;P02;6,99
S000000512;U000303;1/1/2025;P02;6,99
S000000513;U000303;1/2/2025;P02;6,99
S000000514;U000303;1/3/2025;P02;6,99
S000000515;U000303;1/4/2025;P02;6,99
S000000516;U000303;1/5/2025;P02;6,99
S000000517;U000303;1/6/2025;P02;6,99
S000000518;U000303;1/7/2025;P02;6,99
S000000519;U000303;1/8/2025;P02;6,99
S000000520;U000303;1/9/2025;P02;6,99
S000000521;U000303;1/10/2025;P02;6,99
S000000522;U000303;1/11/2025;P02;6,99
S000000523;U000303;1/12/2025;P02;6,99
S000000524;U000313;1/10/2025;P02;6,99
S000000525;U000313;1/11/2025;P02;6,99
S000000526;U000313;1/12/2025;P02;6,99
S000000527;U000314;1/10/2025;P02;6,99
S000000528;U000314;1/11/2025;P02;6,99
S000000529;U000314;1/12/2025;P02;6,99
S000000530;U000315;1/5/2025;P02;6,99
S000000531;U000315;1/6/2025;P02;6,99
S000000532;U000315;1/7/2025;P02;6,99
S000000533;U000315;1/8/2025;P02;6,99
S000000534;U000315;1/9/2025;P02;6,99
S000000535;U000315;1/10/2025;P02;6,99
S000000536;U000315;1/11/2025;P02;6,99
S000000537;U000315;1/12/2025;P02;6,99
S000000538;U000323;1/10/2025;P02;6,99
S000000539;U000323;1/11/2025;P02;6,99
S000000540;U000323;1/12/2025;P02;6,99
S000000541;U000325;1/12/2025;P02;6,99
S000000542;U000327;1/2/2025;P03;14,99
S000000543;U000327;1/3/2025;P03;14,99
S000000544;U000327;1/4/2025;P03;14,99
S000000545;U000327;1/5/2025;P03;14,99
S000000546;U000327;1/6/2025;P03;14,99
S000000547;U000327;1/7/2025;P03;14,99
S000000548;U000327;1/8/2025;P03;14,99
S000000549;U000327;1/9/2025;P03;14,99
S000000550;U000327;1/10/2025;P03;14,99
S000000551;U000327;1/11/2025;P03;14,99
S000000552;U000327;1/12/2025;P03;14,99
S000000553;U000332;1/9/2025;P02;6,99
S000000554;U000332;1/10/2025;P02;6,99
S000000555;U000332;1/11/2025;P02;6,99
S000000556;U000332;1/12/2025;P02;6,99
S000000557;U000334;1/12/2025;P02;6,99
S000000558;U000336;1/3/2025;P03;14,99
S000000559;U000336;1/4/2025;P03;14,99
S000000560;U000336;1/5/2025;P03;14,99
S000000561;U000336;1/6/2025;P03;14,99
S000000562;U000336;1/7/2025;P03;14,99
S000000563;U000336;1/8/2025;P03;14,99
S000000564;U000336;1/9/2025;P03;14,99
S000000565;U000336;1/10/2025;P03;14,99
S000000566;U000336;1/11/2025;P03;14,99
S000000567;U000336;1/12/2025;P03;14,99
S000000568;U000339;1/5/2025;P02;6,99
S000000569;U000339;1/6/2025;P02;6,99
S000000570;U000339;1/7/2025;P02;6,99
S000000571;U000339;1/8/2025;P02;6,99
S000000572;U000339;1/9/2025;P02;6,99
S000000573;U000339;1/10/2025;P02;6,99
S000000574;U000339;1/11/2025;P02;6,99
S000000575;U000339;1/12/2025;P02;6,99
S000000576;U000344;1/5/2025;P02;6,99
S000000577;U000344;1/6/2025;P02;6,99
S000000578;U000344;1/7/2025;P02;6,99
S000000579;U000344;1/8/2025;P02;6,99
S000000580;U000344;1/9/2025;P02;6,99
S000000581;U000344;1/10/2025;P02;6,99
S000000582;U000344;1/11/2025;P02;6,99
S000000583;U000344;1/12/2025;P02;6,99
S000000584;U000346;1/10/2025;P02;6,99
S000000585;U000346;1/11/2025;P02;6,99
S000000586;U000346;1/12/2025;P02;6,99
S000000587;U000347;1/2/2025;P02;6,99
S000000588;U000347;1/3/2025;P02;6,99
S000000589;U000347;1/4/2025;P02;6,99
S000000590;U000347;1/5/2025;P02;6,99
S000000591;U000347;1/6/2025;P02;6,99
S000000592;U000347;1/7/2025;P02;6,99
S000000593;U000347;1/8/2025;P02;6,99
S000000594;U000347;1/9/2025;P02;6,99
S000000595;U000347;1/10/2025;P02;6,99
S000000596;U000347;1/11/2025;P02;6,99
S000000597;U000347;1/12/2025;P02;6,99
S000000598;U000348;1/2/2025;P02;6,99
S000000599;U000348;1/3/2025;P02;6,99
S000000600;U000348;1/4/2025;P02;6,99
S000000601;U000348;1/5/2025;P02;6,99
S000000602;U000348;1/6/2025;P02;6,99
S000000603;U000348;1/7/2025;P02;6,99
S000000604;U000348;1/8/2025;P02;6,99
S000000605;U000348;1/9/2025;P02;6,99
S000000606;U000348;1/10/2025;P02;6,99
